"serial","orthography","klattese","frequency","stratum","density"
238,"즉","zxg",7567,"sino",21
239,"따라서","Dalas^",7517,"native",0
240,"작품","zagpum",7497,"sino",0
241,"친구","cingu",7496,"sino",7
242,"민족","minzog",7449,"sino",5
243,"김","gim",7396,"sino",50
244,"방","baG",7396,"sino",47
245,"김","gim",7396,"native",50
246,"밖","baQ",7380,"native",14
247,"당신","daGsin",7359,"sino",11
248,"정책","z^GcEg",7339,"sino",7
249,"역시","Vgsi",7325,"sino",9
250,"머리","m^li",7263,"native",25
251,"상태","saGtE",7195,"sino",12
252,"열","Vl",7169,"native",51
253,"대표","dEpO",7162,"sino",9
254,"자연","zaVn",7161,"sino",14
255,"입","ib",7072,"native",37
256,"작","zag",7061,"native",64
257,"제도","zEdo",7059,"sino",21
258,"단체","dancE",7052,"sino",8
259,"회사","h@sa",7049,"sino",14
260,"이해","ihE",7015,"sino",27
261,"사","sa",6972,"sino",84
262,"사","sa",6972,"native",84
263,"글","gxl",6936,"native",39
264,"결정","gVlz^G",6927,"sino",7
265,"최근","c@gxn",6913,"sino",4
266,"발전","balz^n",6899,"sino",5
267,"오늘","onxl",6897,"native",2
268,"알리","alli",6891,"native",16
269,"존재","zonzE",6882,"sino",8
270,"시민","simin",6881,"sino",12
271,"의식","Isig",6873,"sino",10
272,"밤","bam",6866,"native",44
273,"생기","sEGgi",6846,"sino",11
274,"엄마","^mma",6845,"native",4
275,"구조","guzo",6798,"sino",20
276,"과학","gWhag",6784,"sino",6
277,"자유","zaU",6770,"sino",23
278,"남편","nampVn",6731,"sino",1
279,"당시","daGsi",6690,"sino",12
280,"곧이들리다","godidxllida",6637,"native",0
281,"곧","god",6637,"native",26
282,"곧추세우다","godcusEuda",6637,"native",0
283,"끝","Qxt",6611,"native",4
284,"산업","san^b",6591,"sino",5
285,"땅","DaG",6562,"native",31
286,"먼저","m^nz^",6557,"native",1
287,"요구","Ogu",6510,"sino",20
288,"관심","gWnsim",6487,"sino",3
289,"계획","gJh@g",6439,"sino",1
290,"설명","s^lmVG",6424,"sino",7
291,"거의","g^I",6422,"sino",20
